               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.089767,            0.021883,            0.013136,             0.47817,             0.38624,             0.29974,            0.087056,             0.09721,            0.018365,           0.0082792,           0.0098268,           0.0098268,           0.0098268
                  37,            0.088535,            0.021264,            0.013362,             0.23683,             0.69966,             0.36904,            0.082142,            0.096288,            0.018144,           0.0077147,           0.0098218,           0.0098218,           0.0098218
                  38,            0.085226,            0.023817,            0.012725,             0.24277,             0.75701,             0.41465,             0.11202,            0.084613,            0.019643,           0.0072516,           0.0098169,           0.0098169,           0.0098169
                  39,            0.077783,            0.024042,            0.012567,             0.24437,             0.85645,             0.39067,             0.08604,            0.079514,            0.021395,           0.0066767,           0.0098119,           0.0098119,           0.0098119
                  40,            0.075783,            0.020766,            0.011746,             0.24437,             0.85645,             0.39067,             0.08604,            0.079514,            0.021395,           0.0066767,            0.009807,            0.009807,            0.009807
                  41,            0.072633,            0.023212,            0.011557,             0.27191,             0.87848,             0.41587,            0.098318,            0.075675,            0.022302,           0.0064131,            0.009802,            0.009802,            0.009802
                  42,            0.071976,            0.021686,            0.011525,             0.30794,             0.86189,             0.39966,             0.12213,            0.077254,            0.021055,           0.0058833,            0.009797,            0.009797,            0.009797
                  43,            0.069589,            0.023972,            0.010685,             0.18968,             0.67403,             0.26087,            0.065618,            0.084114,            0.019649,           0.0058771,           0.0097921,           0.0097921,           0.0097921
                  44,            0.079611,            0.018373,             0.01046,             0.18968,             0.67403,             0.26087,            0.065618,            0.084114,            0.019649,           0.0058771,           0.0097871,           0.0097871,           0.0097871
                  45,            0.075407,            0.023987,            0.010814,             0.28979,             0.62907,             0.42305,              0.1915,            0.077823,            0.018991,           0.0059137,           0.0097822,           0.0097822,           0.0097822
                  46,            0.074202,            0.020977,            0.010686,             0.46289,             0.72486,             0.59222,             0.24466,            0.074288,            0.018596,           0.0061731,           0.0097773,           0.0097773,           0.0097773
                  47,            0.070417,              0.0207,            0.010677,             0.44225,             0.64864,             0.53506,             0.12969,            0.081475,            0.018074,           0.0060744,           0.0097723,           0.0097723,           0.0097723
